CXF-Master-JDK15 #175,175,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/175/,2020-06-18T01:58:24.989000,UNSTABLE,11344,58,21
JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
CXF-Master-JDK15 #180,180,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/180/,2020-06-24T16:17:52.399000,UNSTABLE,11344,57,18
CXF-Master-JDK15 #179,179,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/179/,2020-06-23T22:30:40.439000,UNSTABLE,11343,56,20
JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
CXF-Master-JDK15 #184,184,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/184/,2020-06-29T12:59:55.730000,UNSTABLE,11346,57,18
CXF-Master-JDK15 #183,183,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/183/,2020-06-28T20:24:47.249000,UNSTABLE,11346,58,19
JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
CXF-Master-JDK15 #187,187,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/187/,2020-07-02T16:23:37.820000,None,0,0,0
CXF-Master-JDK15 #186,186,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/186/,2020-07-02T09:39:47.636000,UNSTABLE,11346,58,19
CXF-Master-JDK15 #185,185,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/185/,2020-07-01T10:07:21.544000,ABORTED,3673,8,0
JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
CXF-Master-JDK15 #188,188,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/188/,2020-07-05T18:35:05.679000,UNSTABLE,11346,57,18
CXF-Master-JDK15 #187,187,https://builds.apache.org/view/C/view/Apache%20CXF/job/CXF-Master-JDK15/187/,2020-07-02T16:23:37.820000,UNSTABLE,11346,57,19
