Build_ID,Number,TimeStamp,Build_Commit,Build_Branch,Build_Status
698604927,4178,2020-06-15T16:21:58Z,15715b48d1c5d7218e361c2e5a09e65cdc7260fc,master,finished
698324652,4177,2020-06-14T22:37:29Z,bf9de34f343e63c8236aea75c1a6ae4b39e1fbe9,master,finished
698063754,4176,2020-06-13T21:31:20Z,d618a18c19e24fe852c4d013961623e0f5144ca5,master,finished
698056160,4175,2020-06-13T20:56:59Z,8cef7ca6dbb86ca362dce70ce4b1d7fd03240451,master,finished
697920125,4174,2020-06-13T08:48:41Z,07073fafc3bad8864f754c7c6c7f67c10886f805,master,finished
697731182,4173,2020-06-12T18:21:43Z,40416776cf142ca7069c575b60a655ed44be0da6,master,finished
697711435,4172,2020-06-12T17:41:35Z,1c52e9ce978f22c5283a0fe63e06c2e0167adaeb,master,finished
697711397,4171,,ecf3183290bd8605c47a162f290d9185a27f0315,master,finished
697710854,4170,2020-06-12T17:23:53Z,03a862be57dd002c90be52cae227d2fa4fea5557,master,finished
697708734,4169,2020-06-12T17:18:15Z,fcae70c9527185f30f5376bc6971e7d4efa1ccc5,master,finished
697700113,4168,2020-06-12T17:09:15Z,2b0b1dc0178f2233cbc36bf3e2d1369205b83bfd,master,finished
697286185,4167,2020-06-11T16:07:14Z,d16fe847a5ff41ece22ee01c5f015c5b279e96fc,master,finished
697284344,4166,,8e56cebe9b035e15da4c505e3e7f25901945a739,master,finished
697217663,4165,2020-06-11T13:21:12Z,ed5d7cc16091a24151ec8bf245a108dc5a66d126,master,finished
697217592,4164,,68ac22c46268995db0d2597b4c39e0509c06b5d1,master,finished
697217202,4163,2020-06-11T13:19:20Z,7c54540680a4ac43d1102d1c90345f946486cb88,master,finished
697211606,4162,2020-06-11T13:00:50Z,e65f3fcf78aa455badd3189b2a0e72fac6bb539c,master,finished
697209260,4161,2020-06-11T12:51:47Z,42bf4be51a6eaf30072cd0662829d0e55d718d6d,master,finished
697206625,4160,2020-06-11T12:43:03Z,96bab03e5520508b9ace2f2182aa7778bea3d14c,master,finished
697205329,4159,2020-06-11T12:38:47Z,ebbf78d1b2f7629244c60cdce56bfa772131d826,master,finished
697205145,4158,2020-06-11T12:37:47Z,78f7eb3382ac460b99c63a027034f980350b96c3,master,finished
697203492,4157,2020-06-11T12:30:11Z,9169a6d4c976d53833ed152ba12f1031ad859934,master,finished
697202735,4156,2020-06-11T12:26:56Z,83af04e1d305749722a31249513e4e474d63a5ef,master,finished
697183452,4155,2020-06-11T11:13:11Z,a43fcf35136cc94db3ce9f3db43656557727af10,master,finished
697178805,4154,2020-06-11T10:55:25Z,8ea47ad41451c7e27735831bafd9fd2827164992,master,finished
Build_ID,Number,TimeStamp,Build_Commit,Build_Branch,Build_Status
705846024,4229,2020-07-07T16:04:11Z,868a623ac509b89664e27301b38f224acdf68e4f,main,started
705845987,4228,,cdf55ed31f7908287b1ecc29e03cd28ce330342d,main,finished
705845332,4227,2020-07-07T16:00:14Z,b66d3bbfb533ac58b266c478a9e3aea697f1bb65,main,finished
705842603,4226,2020-07-07T15:53:56Z,b3763b90f951a0911e04e57bcd23912decddc0ea,main,finished
705819874,4225,2020-07-07T14:50:08Z,7d3fae889b2bfdf9e72894b4be82784207d36c0b,main,finished
704958195,4224,2020-07-04T16:59:12Z,b57b924bd19e70f1dac2d018dc9b2e58ea12de9f,main,finished
704957181,4223,2020-07-04T16:51:08Z,572136010a3cecda10aaeabd392f360f72e7560e,main,finished
704665291,4222,2020-07-03T13:42:04Z,1131c6b906c74cfd218c2e1a4d3b44883d8ed438,main,finished
704659467,4221,2020-07-03T13:21:49Z,e53db9f342c1b27f98fa6cfba3c9c4af0175df7e,main,finished
704328571,4220,2020-07-02T14:02:28Z,e69d68af817ac5e22f074239eea7667ca8a2ca4d,main,finished
704287675,4219,2020-07-02T11:54:53Z,c55c1a7d4c01114aa1207cb8fa447db0da6b68ee,main,finished
704287620,4218,,dd4a9b18484be26d3d98b569354b190f6a4bb1ae,main,finished
704287168,4217,2020-07-02T11:53:10Z,10d4f62f72cb99be18f6b8c8d790b2dc9f661066,main,finished
703677931,4216,2020-06-30T20:42:57Z,c695e05503b5d644b06318ec08a1e47b02d82e7d,main,finished
703461794,4215,2020-06-30T09:30:14Z,2a8ae8dfe431e68814700a97749e68ae32cd880c,main,finished
703296754,4214,2020-06-29T20:31:14Z,0e27a837883a999c801d2326c289d58e776f2bcf,main,finished
703188704,4213,2020-06-29T15:16:30Z,50b57796071bfc20e551c2e6fecfc930f5145181,main,finished
703188507,4212,2020-06-29T14:53:35Z,f1d33ccc540fcbb3359f84b60d0237ba3e24cc98,main,finished
703188209,4211,2020-06-29T14:52:47Z,6128a8faa8994c8bfb4a474c3c0c0815ec5c651c,main,finished
703148011,4210,2020-06-29T13:41:53Z,37607443d91e95b00c386010866d4f1f6bc910a7,main,finished
703111456,4209,2020-06-29T11:46:57Z,9908a1aa1557cb85d5014f79feea390811061ea4,main,finished
702884157,4208,2020-06-28T14:10:02Z,bd7815a380717c397b95496cd30850819de10f6e,main,finished
702774574,4207,2020-06-28T00:21:11Z,b0fee865f42819c7de94b16ec108e85830c9b6db,main,finished
702481590,4206,2020-06-26T19:06:17Z,95c3ac8ece6db42091897fc0c16b81d62ada3b2c,main,finished
702341276,4205,2020-06-26T11:23:43Z,4526ce2607137b99f0290f2356eb1eed7d155e90,main,finished
702102867,4204,2020-06-25T16:45:48Z,431dadfa089bcfc604927f4fd4f03ac29c2df705,main,finished
702003848,4203,2020-06-25T12:15:26Z,21d64340318851be7e124caac0f95b0aefa384e7,main,finished
701951268,4202,2020-06-25T08:49:53Z,b2728a22eac958e0fd18f89cd5b4a27884e5bd03,main,finished
701948926,4201,2020-06-25T08:39:52Z,66d42b1674ea64962b53fa2685a7d924c28c77ed,main,finished
701948898,4200,,220b8a3188a86d6937f747e86e3e7b2726172f8e,main,finished
701948162,4199,2020-06-25T08:37:47Z,f72b6686187df4e9c07e481d5dde0626cbd1c6b2,main,finished
701942829,4198,2020-06-25T08:16:46Z,c5a55c0424f540d7ba318b3403292f34cb340d8e,main,finished
701892951,4197,2020-06-25T03:58:57Z,3b51cee19cd8b8444fa8f08c29d54de1f2757d1b,main,finished
701826606,4196,2020-06-24T22:16:40Z,3ced59799a6e1fecd4f3432945d322101fc450a0,main,finished
701744996,4195,2020-06-24T19:39:21Z,2f8b5c2c9925a79e2eb7895b503637ebd83bd654,main,finished
701732864,4194,2020-06-24T17:19:50Z,cede235e384b4bbd1d4ef57ddd4883bbf9bbc113,main,finished
701448713,4193,2020-06-23T22:37:03Z,f6fb4160d4f3298918fd58f36cc256aeb25ed8f9,main,finished
