ClassName,Duration
org.eclipse.jetty.jsp.TestJettyJspServlet,1.027
org.eclipse.jetty.jsp.TestJettyTldPreScanned,0.032
org.eclipse.jetty.jsp.TestJspFileNameToClass,0.003
org.eclipse.jetty.jstl.JspIncludeTest,0.62
org.eclipse.jetty.jstl.JstlTest,0.579
org.eclipse.jetty.embedded.ExampleServerTest,1.2389999999999999
org.eclipse.jetty.embedded.ExampleServerXmlTest,0.137
org.eclipse.jetty.embedded.FastFileServerTest,0.042
org.eclipse.jetty.embedded.FileServerTest,0.047
org.eclipse.jetty.embedded.FileServerXmlTest,0.041
org.eclipse.jetty.embedded.JarServerTest,0.046
org.eclipse.jetty.embedded.LikeJettyXmlTest,5.6579999999999995
org.eclipse.jetty.embedded.ManyConnectorsTest,0.476
org.eclipse.jetty.embedded.ManyContextsTest,0.087
org.eclipse.jetty.embedded.ManyHandlersTest,0.057
org.eclipse.jetty.embedded.ManyServletContextsTest,0.129
org.eclipse.jetty.embedded.MinimalServletsTest,0.016
org.eclipse.jetty.embedded.OneConnectorTest,0.015
org.eclipse.jetty.embedded.OneContextTest,0.016
org.eclipse.jetty.embedded.OneHandlerTest,0.013
org.eclipse.jetty.embedded.OneServletContextJmxStatsTest,0.079
org.eclipse.jetty.embedded.OneServletContextTest,0.07
org.eclipse.jetty.embedded.OneServletContextWithSessionTest,0.021
org.eclipse.jetty.embedded.OneWebAppTest,1.001
org.eclipse.jetty.embedded.OneWebAppWithJspTest,2.799
org.eclipse.jetty.embedded.ProxyServerTest,1.122
org.eclipse.jetty.embedded.RewriteServerTest,0.038
org.eclipse.jetty.embedded.SecuredHelloHandlerTest,0.043
org.eclipse.jetty.embedded.ServerWithAnnotationsTest,0.219
org.eclipse.jetty.embedded.ServerWithJMXTest,2.146
org.eclipse.jetty.embedded.ServerWithJNDITest,0.107
org.eclipse.jetty.embedded.SimplestServerTest,0.013
org.eclipse.jetty.embedded.SplitFileServerTest,0.047
org.eclipse.jetty.embedded.WebSocketJsrServerTest,0.107
org.eclipse.jetty.embedded.WebSocketServerTest,0.053
org.eclipse.jetty.alpn.java.client.ConscryptHTTP2ClientTest,0.0
org.eclipse.jetty.alpn.conscrypt.server.ConscryptHTTP2ServerTest,1.536
org.eclipse.jetty.alpn.java.client.JDK9HTTP2ClientTest,1.451
org.eclipse.jetty.alpn.java.server.JDK9ALPNTest,1.785
org.eclipse.jetty.annotations.TestAnnotationConfiguration,0.564
org.eclipse.jetty.annotations.TestAnnotationDecorator,0.029
org.eclipse.jetty.annotations.TestAnnotationInheritance,0.117
org.eclipse.jetty.annotations.TestAnnotationIntrospector,0.017
org.eclipse.jetty.annotations.TestAnnotationParser,0.208
org.eclipse.jetty.annotations.TestRunAsAnnotation,0.017
org.eclipse.jetty.annotations.TestSecurityAnnotationConversions,0.010000000000000002
org.eclipse.jetty.annotations.TestServletAnnotations,0.016000000000000004
org.eclipse.jetty.annotations.resources.TestResourceAnnotations,0.056
org.eclipse.jetty.ant.JettyAntTaskTest,1.111
org.eclipse.jetty.client.ClientConnectionCloseTest,12.872
org.eclipse.jetty.client.ConnectionPoolTest,11.845999999999998
org.eclipse.jetty.client.ContentResponseTest,1.577
org.eclipse.jetty.client.HostnameVerificationTest,1.135
org.eclipse.jetty.client.HttpAuthenticationStoreTest,0.008
org.eclipse.jetty.client.HttpClientAsyncContentTest,4.3870000000000005
org.eclipse.jetty.client.HttpClientAuthenticationTest,5.638000000000001
org.eclipse.jetty.client.HttpClientChunkedContentTest,3.033
org.eclipse.jetty.client.HttpClientCorrelationDataTest,0.379
org.eclipse.jetty.client.HttpClientCustomProxyTest,0.017
org.eclipse.jetty.client.HttpClientExplicitConnectionTest,5.129
org.eclipse.jetty.client.HttpClientFailureTest,0.034
